Date,Close
1/7/2019,36.982498
1/8/2019,37.6875
1/9/2019,38.327499
1/10/2019,38.450001
1/11/2019,38.072498
1/14/2019,37.5
1/15/2019,38.267502
1/16/2019,38.735001
1/17/2019,38.965
1/18/2019,39.205002
1/22/2019,38.325001
1/23/2019,38.48
1/24/2019,38.174999
1/25/2019,39.439999
1/28/2019,39.075001
1/29/2019,38.669998
1/30/2019,41.3125
1/31/2019,41.610001
2/1/2019,41.630001
2/4/2019,42.8125
2/5/2019,43.544998
2/6/2019,43.560001
2/7/2019,42.735001
2/8/2019,42.602501
2/11/2019,42.357498
2/12/2019,42.7225
2/13/2019,42.544998
2/14/2019,42.700001
2/15/2019,42.605
2/19/2019,42.732498
2/20/2019,43.0075
2/21/2019,42.764999
2/22/2019,43.2425
2/25/2019,43.557499
2/26/2019,43.5825
2/27/2019,43.717499
2/28/2019,43.287498
3/1/2019,43.7425
3/4/2019,43.962502
3/5/2019,43.8825
3/6/2019,43.630001
3/7/2019,43.125
3/8/2019,43.227501
3/11/2019,44.724998
3/12/2019,45.227501
3/13/2019,45.427502
3/14/2019,45.932499
3/15/2019,46.529999
3/18/2019,47.005001
3/19/2019,46.6325
3/20/2019,47.040001
3/21/2019,48.772499
3/22/2019,47.762501
3/25/2019,47.185001
3/26/2019,46.697498
3/27/2019,47.1175
3/28/2019,47.18
3/29/2019,47.487499
4/1/2019,47.810001
4/2/2019,48.505001
4/3/2019,48.837502
4/4/2019,48.922501
4/5/2019,49.25
4/8/2019,50.025002
4/9/2019,49.875
4/10/2019,50.154999
4/11/2019,49.737499
4/12/2019,49.717499
4/15/2019,49.807499
4/16/2019,49.8125
4/17/2019,50.782501
4/18/2019,50.965
4/22/2019,51.1325
4/23/2019,51.869999
4/24/2019,51.790001
4/25/2019,51.32
4/26/2019,51.075001
4/29/2019,51.1525
4/30/2019,50.1675
5/1/2019,52.630001
5/2/2019,52.287498
5/3/2019,52.9375
5/6/2019,52.119999
5/7/2019,50.715
5/8/2019,50.724998
5/9/2019,50.18
5/10/2019,49.294998
5/13/2019,46.43
5/14/2019,47.165001
5/15/2019,47.73
5/16/2019,47.52
5/17/2019,47.25
5/20/2019,45.772499
5/21/2019,46.650002
5/22/2019,45.695
5/23/2019,44.915001
5/24/2019,44.7425
5/28/2019,44.557499
5/29/2019,44.345001
5/30/2019,44.575001
5/31/2019,43.767502
6/3/2019,43.325001
6/4/2019,44.91
6/5/2019,45.634998
6/6/2019,46.305
6/7/2019,47.537498
6/10/2019,48.145
6/11/2019,48.702499
6/12/2019,48.547501
6/13/2019,48.537498
6/14/2019,48.185001
6/17/2019,48.4725
6/18/2019,49.612499
6/19/2019,49.467499
6/20/2019,49.865002
6/21/2019,49.695
6/24/2019,49.645
6/25/2019,48.892502
6/26/2019,49.950001
6/27/2019,49.935001
6/28/2019,49.48
7/1/2019,50.387501
7/2/2019,50.682499
7/3/2019,51.102501
7/5/2019,51.057499
7/8/2019,50.005001
7/9/2019,50.310001
7/10/2019,50.807499
7/11/2019,50.4375
7/12/2019,50.825001
7/15/2019,51.302502
7/16/2019,51.125
7/17/2019,50.837502
7/18/2019,51.415001
7/19/2019,50.647499
7/22/2019,51.805
7/23/2019,52.209999
7/24/2019,52.1675
7/25/2019,51.755001
7/26/2019,51.935001
7/29/2019,52.419998
7/30/2019,52.195
7/31/2019,53.259998
8/1/2019,52.107498
8/2/2019,51.005001
8/5/2019,48.334999
8/6/2019,49.25
8/7/2019,49.759998
8/8/2019,50.857498
8/9/2019,50.247501
8/12/2019,50.119999
8/13/2019,52.2425
8/14/2019,50.6875
8/15/2019,50.435001
8/16/2019,51.625
8/19/2019,52.587502
8/20/2019,52.59
8/21/2019,53.16
8/22/2019,53.115002
8/23/2019,50.66
8/26/2019,51.622501
8/27/2019,51.040001
8/28/2019,51.3825
8/29/2019,52.252499
8/30/2019,52.185001
9/3/2019,51.424999
9/4/2019,52.297501
9/5/2019,53.32
9/6/2019,53.314999
9/9/2019,53.5425
9/10/2019,54.174999
9/11/2019,55.897499
9/12/2019,55.772499
9/13/2019,54.6875
9/16/2019,54.974998
9/17/2019,55.174999
9/18/2019,55.692501
9/19/2019,55.240002
9/20/2019,54.432499
9/23/2019,54.68
9/24/2019,54.419998
9/25/2019,55.2575
9/26/2019,54.9725
9/27/2019,54.705002
9/30/2019,55.9925
10/1/2019,56.147499
10/2/2019,54.740002
10/3/2019,55.205002
10/4/2019,56.752499
10/7/2019,56.764999
10/8/2019,56.099998
10/9/2019,56.7575
10/10/2019,57.522499
10/11/2019,59.052502
10/14/2019,58.967499
10/15/2019,58.830002
10/16/2019,58.592499
10/17/2019,58.82
10/18/2019,59.102501
10/21/2019,60.127499
10/22/2019,59.990002
10/23/2019,60.794998
10/24/2019,60.895
10/25/2019,61.645
10/28/2019,62.262501
10/29/2019,60.822498
