Date,Close
1/7/19,1629.51
1/8/19,1656.58
1/9/19,1659.42
1/10/19,1656.22
1/11/19,1640.56
1/14/19,1617.21
1/15/19,1674.56
1/16/19,1683.78
1/17/19,1693.22
1/18/19,1696.2
1/22/19,1632.17
1/23/19,1640.02
1/24/19,1654.93
1/25/19,1670.57
1/28/19,1637.89
1/29/19,1593.88
1/30/19,1670.43
1/31/19,1718.73
2/1/19,1626.23
2/4/19,1633.31
2/5/19,1658.81
2/6/19,1640.26
2/7/19,1614.37
2/8/19,1588.22
2/11/19,1591
2/12/19,1638.01
2/13/19,1640
2/14/19,1622.65
2/15/19,1607.95
2/19/19,1627.58
2/20/19,1622.1
2/21/19,1619.44
2/22/19,1631.56
2/25/19,1633
2/26/19,1636.4
2/27/19,1641.09
2/28/19,1639.83
3/1/19,1671.73
3/4/19,1696.17
3/5/19,1692.43
3/6/19,1668.95
3/7/19,1625.95
3/8/19,1620.8
3/11/19,1670.62
3/12/19,1673.1
3/13/19,1690.81
3/14/19,1686.22
3/15/19,1712.36
3/18/19,1742.15
3/19/19,1761.85
3/20/19,1797.27
3/21/19,1819.26
3/22/19,1764.77
3/25/19,1774.26
3/26/19,1783.76
3/27/19,1765.7
3/28/19,1773.42
3/29/19,1780.75
4/1/19,1814.19
4/2/19,1813.98
4/3/19,1820.7
4/4/19,1818.86
4/5/19,1837.28
4/8/19,1849.86
4/9/19,1835.84
4/10/19,1847.33
4/11/19,1844.07
4/12/19,1843.06
4/15/19,1844.87
4/16/19,1863.04
4/17/19,1864.82
4/18/19,1861.69
4/22/19,1887.31
4/23/19,1923.77
4/24/19,1901.75
4/25/19,1902.25
4/26/19,1950.63
4/29/19,1938.43
4/30/19,1926.52
5/1/19,1911.52
5/2/19,1900.82
5/3/19,1962.46
5/6/19,1950.55
5/7/19,1921
5/8/19,1917.77
5/9/19,1899.87
5/10/19,1889.98
5/13/19,1822.68
5/14/19,1840.12
5/15/19,1871.15
5/16/19,1907.57
5/17/19,1869
5/20/19,1858.97
5/21/19,1857.52
5/22/19,1859.68
5/23/19,1815.48
5/24/19,1823.28
5/28/19,1836.43
5/29/19,1819.19
5/30/19,1816.32
5/31/19,1775.07
6/3/19,1692.69
6/4/19,1729.56
6/5/19,1738.5
6/6/19,1754.36
6/7/19,1804.03
6/10/19,1860.63
6/11/19,1863.7
6/12/19,1855.32
6/13/19,1870.3
6/14/19,1869.67
6/17/19,1886.03
6/18/19,1901.37
6/19/19,1908.79
6/20/19,1918.19
6/21/19,1911.3
6/24/19,1913.9
6/25/19,1878.27
6/26/19,1897.83
6/27/19,1904.28
6/28/19,1893.63
7/1/19,1922.19
7/2/19,1934.31
7/3/19,1939
7/5/19,1942.91
7/8/19,1952.32
7/9/19,1988.3
7/10/19,2017.41
7/11/19,2001.07
7/12/19,2011
7/15/19,2020.99
7/16/19,2009.9
7/17/19,1992.03
7/18/19,1977.9
7/19/19,1964.52
7/22/19,1985.63
7/23/19,1994.49
7/24/19,2000.81
7/25/19,1973.82
7/26/19,1943.05
7/29/19,1912.45
7/30/19,1898.53
7/31/19,1866.78
8/1/19,1855.32
8/2/19,1823.24
8/5/19,1765.13
8/6/19,1787.83
8/7/19,1793.4
8/8/19,1832.89
8/9/19,1807.58
8/12/19,1784.92
8/13/19,1824.34
8/14/19,1762.96
8/15/19,1776.12
8/16/19,1792.57
8/19/19,1816.12
8/20/19,1801.38
8/21/19,1823.54
8/22/19,1805.6
8/23/19,1749.62
8/26/19,1768.87
8/27/19,1761.83
8/28/19,1764.25
8/29/19,1786.4
8/30/19,1776.29
9/3/19,1789.84
9/4/19,1800.62
9/5/19,1840.72
9/6/19,1833.51
9/9/19,1831.35
9/10/19,1820.55
9/11/19,1822.99
9/12/19,1843.55
9/13/19,1839.34
9/16/19,1807.84
9/17/19,1822.55
9/18/19,1817.46
9/19/19,1821.5
9/20/19,1794.16
9/23/19,1785.3
9/24/19,1741.61
9/25/19,1768.33
9/26/19,1739.84
9/27/19,1725.45
9/30/19,1735.91
10/1/19,1735.65
10/2/19,1713.23
10/3/19,1724.42
10/4/19,1739.65
10/7/19,1732.66
10/8/19,1705.51
10/9/19,1721.99
10/10/19,1720.26
10/11/19,1731.92
10/14/19,1736.43
10/15/19,1767.38
10/16/19,1777.43
10/17/19,1787.48
10/18/19,1757.51
10/21/19,1785.66
10/22/19,1765.73
10/23/19,1762.17
10/24/19,1780.78
10/25/19,1761.33
10/28/19,1777.08
10/29/19,1762.71
10/30/19,1779.99
10/31/19,1776.66
11/1/19,1791.44
11/4/19,1804.66
11/5/19,1801.71
11/6/19,1795.77
11/7/19,1788.2
11/8/19,1785.88
11/11/19,1771.65
11/12/19,1778
11/13/19,1753.11
11/14/19,1754.6
11/15/19,1739.49
11/18/19,1752.53
11/19/19,1752.79
11/20/19,1745.53
11/21/19,1734.71
11/22/19,1745.72
11/25/19,1773.84
11/26/19,1796.94
11/27/19,1818.51
11/29/19,1800.8
12/2/19,1781.6
12/3/19,1769.96
12/4/19,1760.69
12/5/19,1740.48
12/6/19,1751.6
12/9/19,1749.51
12/10/19,1739.21
12/11/19,1748.72
12/12/19,1760.33
12/13/19,1760.94
12/16/19,1769.21
12/17/19,1790.66
12/18/19,1784.03
12/19/19,1792.28
12/20/19,1786.5
12/23/19,1793
12/24/19,1789.21
12/26/19,1868.77
12/27/19,1869.8
12/30/19,1846.89
