Date,Close
1/7/19,14.67
1/8/19,14.69
1/9/19,14.78
1/10/19,14.6
1/11/19,14.64
1/14/19,14.66
1/15/19,14.6
1/16/19,14.63
1/17/19,14.57
1/18/19,14.37
1/22/19,14.39
1/23/19,14.42
1/24/19,14.36
1/25/19,14.74
1/28/19,14.79
1/29/19,14.88
1/30/19,15.05
1/31/19,15.05
2/1/19,14.92
2/4/19,14.88
2/5/19,14.87
2/6/19,14.68
2/7/19,14.77
2/8/19,14.83
2/11/19,14.72
2/12/19,14.73
2/13/19,14.59
2/14/19,14.65
2/15/19,14.82
2/19/19,15.02
2/20/19,15.07
2/21/19,14.83
2/22/19,14.95
2/25/19,14.9
2/26/19,14.94
2/27/19,14.75
2/28/19,14.63
3/1/19,14.2
3/4/19,14.15
3/5/19,14.2
3/6/19,14.15
3/7/19,14.09
3/8/19,14.41
3/11/19,14.37
3/12/19,14.48
3/13/19,14.51
3/14/19,14.24
3/15/19,14.33
3/18/19,14.39
3/19/19,14.4
3/20/19,14.54
3/21/19,14.5
3/22/19,14.45
3/25/19,14.56
3/26/19,14.47
3/27/19,14.32
3/28/19,14.07
3/29/19,14.18
4/1/19,14.15
4/2/19,14.16
4/3/19,14.2
4/4/19,14.22
4/5/19,14.17
4/8/19,14.31
4/9/19,14.28
4/10/19,14.28
4/11/19,14.02
4/12/19,14.05
4/15/19,14.06
4/16/19,14.07
4/17/19,14.05
4/18/19,14.06
4/22/19,14.08
4/23/19,13.91
4/24/19,14
4/25/19,14
4/26/19,14.1
4/29/19,13.99
4/30/19,14.02
5/1/19,13.75
5/2/19,13.71
5/3/19,13.96
5/6/19,13.98
5/7/19,13.98
5/8/19,13.89
5/9/19,13.83
5/10/19,13.84
5/13/19,13.84
5/14/19,13.86
5/15/19,13.85
5/16/19,13.65
5/17/19,13.52
5/20/19,13.55
5/21/19,13.53
5/22/19,13.54
5/23/19,13.68
5/24/19,13.65
5/28/19,13.46
5/29/19,13.52
5/30/19,13.6
5/31/19,13.65
6/3/19,13.87
6/4/19,13.89
6/5/19,13.88
6/6/19,13.92
6/7/19,14.06
6/10/19,13.78
6/11/19,13.81
6/12/19,13.84
6/13/19,13.96
6/14/19,13.91
6/17/19,13.9
6/18/19,14.05
6/19/19,14.17
6/20/19,14.45
6/21/19,14.36
6/24/19,14.46
6/25/19,14.38
6/26/19,14.32
6/27/19,14.28
6/28/19,14.33
