Date,Close
1/7/19,12.92
1/8/19,12.34
1/9/19,12.45
1/10/19,12.36
1/11/19,12.44
1/14/19,12.3
1/15/19,11.86
1/16/19,11.85
1/17/19,11.9
1/18/19,11.79
1/22/19,11.78
1/23/19,11.77
1/24/19,11.85
1/25/19,12.25
1/28/19,12.34
1/29/19,12.93
1/30/19,13.05
1/31/19,13.39
2/1/19,13.25
2/4/19,13.35
2/5/19,13.36
2/6/19,13.24
2/7/19,13.34
2/8/19,13.62
2/11/19,13.43
2/12/19,13.37
2/13/19,12.82
2/14/19,12.91
2/15/19,12.95
2/19/19,13.55
2/20/19,13.76
2/21/19,13.32
2/22/19,13.04
2/25/19,12.61
2/26/19,12.59
2/27/19,12.5
2/28/19,12.64
3/1/19,12.31
3/4/19,12.51
3/5/19,12.7
3/6/19,12.4
3/7/19,12.63
3/8/19,12.93
3/11/19,13.18
3/12/19,13.23
3/13/19,13.35
3/14/19,13.11
3/15/19,13
3/18/19,12.95
3/19/19,12.84
3/20/19,13.11
3/21/19,13.28
3/22/19,13.67
3/25/19,14.27
3/26/19,14.5
3/27/19,14.25
3/28/19,13.88
3/29/19,13.71
4/1/19,13.44
4/2/19,13.46
4/3/19,13.3
4/4/19,13.56
4/5/19,13.49
4/8/19,13.52
4/9/19,13.72
4/10/19,13.59
4/11/19,13.45
4/12/19,13.42
4/15/19,13.63
4/16/19,13.29
4/17/19,13.2
4/18/19,13.22
4/22/19,12.97
4/23/19,12.81
4/24/19,12.83
4/25/19,12.84
4/26/19,13
4/29/19,12.66
4/30/19,12.72
5/1/19,12.59
5/2/19,12.51
5/3/19,12.59
5/6/19,12.6
5/7/19,12.72
5/8/19,12.57
5/9/19,12.37
5/10/19,12
5/13/19,12.31
5/14/19,12.46
5/15/19,12.5
5/16/19,12.18
5/17/19,12.22
5/20/19,12.2
5/21/19,12.12
5/22/19,11.94
5/23/19,11.96
5/24/19,11.95
5/28/19,11.74
5/29/19,11.75
5/30/19,11.79
5/31/19,12.42
6/3/19,13.09
6/4/19,13.21
6/5/19,13.23
6/6/19,13.51
6/7/19,13.54
6/10/19,13.45
6/11/19,13.55
6/12/19,13.73
6/13/19,13.86
6/14/19,13.9
6/17/19,14.15
6/18/19,14.37
6/19/19,14.48
6/20/19,15.3
6/21/19,15.6
6/24/19,16.24
6/25/19,16.01
6/26/19,15.86
6/27/19,15.7
6/28/19,15.77
7/1/19,14.99
7/2/19,15.59
7/3/19,15.88
7/5/19,15.8
7/8/19,15.86
7/9/19,16.05
7/10/19,16.52
7/11/19,16.39
7/12/19,16.51
7/15/19,16.34
7/16/19,16.11
7/17/19,16.71
7/18/19,17.22
7/19/19,17.21
7/22/19,17.34
7/23/19,17.29
7/24/19,17.35
7/25/19,17.04
7/26/19,17.06
7/29/19,17.21
7/30/19,17.01
7/31/19,16.26
8/1/19,16.95
8/2/19,16.91
8/5/19,17.59
8/6/19,17.57
8/7/19,18.05
8/8/19,18.19
8/9/19,18.14
8/12/19,17.96
8/13/19,17.96
8/14/19,18.18
8/15/19,18.39
8/16/19,18.39
8/19/19,18.1
8/20/19,18.69
8/21/19,18.64
8/22/19,18.74
8/23/19,19.14
8/26/19,19.24
8/27/19,19.77
8/28/19,19.94
8/29/19,19.28
8/30/19,19.38
9/3/19,19.42
9/4/19,19.87
9/5/19,18.4
9/6/19,17.87
9/9/19,17.41
9/10/19,17.25
9/11/19,17.34
9/12/19,17.13
9/13/19,17.23
9/16/19,17.1
9/17/19,18.02
9/18/19,17.64
9/19/19,18.3
9/20/19,18.43
9/23/19,18.6
9/24/19,18.81
9/25/19,18.18
9/26/19,18.1
9/27/19,17.73
9/30/19,17.33
10/1/19,17.22
10/2/19,17.37
10/3/19,17.26
10/4/19,17.75
10/7/19,17.62
10/8/19,18.06
10/9/19,17.87
10/10/19,17.91
10/11/19,17
10/14/19,17.1
10/15/19,16.66
10/16/19,16.94
10/17/19,17.09
10/18/19,17.19
10/21/19,16.83
10/22/19,16.6
10/23/19,16.57
10/24/19,17.17
10/25/19,17.2
10/28/19,16.72
10/29/19,16.77
10/30/19,17.05
10/31/19,17.36
11/1/19,17.01
11/4/19,16.64
11/5/19,16.54
11/6/19,16.9
11/7/19,16.9
11/8/19,16.37
11/11/19,16.38
11/12/19,16.44
11/13/19,16.66
11/14/19,16.66
11/15/19,16.57
11/18/19,16.89
11/19/19,17.05
11/20/19,16.99
11/21/19,16.64
11/22/19,16.49
11/25/19,16.43
11/26/19,16.86
11/27/19,16.7
11/29/19,16.8
12/2/19,16.89
12/3/19,17.28
12/4/19,17.03
12/5/19,17.16
12/6/19,16.89
12/9/19,16.85
12/10/19,17.14
12/11/19,17.62
12/12/19,17.56
12/13/19,17.58
12/16/19,17.42
12/17/19,17.39
12/18/19,17.93
12/19/19,17.71
12/20/19,17.45
12/23/19,17.76
12/24/19,18.31
12/26/19,18.36
12/27/19,18.37
12/30/19,18.61
12/31/19,18.59
1/2/20,18.49
1/3/20,18.57
1/6/20,18.39
1/7/20,18.47
1/8/20,17.82
1/9/20,17.6
1/10/20,17.85
1/13/20,17.45
1/14/20,17.56
1/15/20,17.9
1/16/20,18.09
1/17/20,17.95
1/21/20,18.35
1/22/20,18.29
1/23/20,18.43
1/24/20,18.71
1/27/20,18.62
1/28/20,18
1/29/20,18.37
1/30/20,18.44
1/31/20,18.52
2/3/20,18.28
2/4/20,18.02
2/5/20,18.02
2/6/20,18.35
2/7/20,18.19
2/10/20,18.43
2/11/20,18.44
2/12/20,18.41
2/13/20,18.93
2/14/20,19.72
2/18/20,20.58
2/19/20,21
2/20/20,20.77
2/21/20,21.44
2/24/20,22.03
2/25/20,21.25
2/26/20,21.09
2/27/20,19.78
2/28/20,19.04
3/2/20,19.86
3/3/20,20.62
3/4/20,20.55
3/5/20,21.16
3/6/20,21.23
3/9/20,19.93
3/10/20,19.87
3/11/20,18.79
3/12/20,16.88
3/13/20,15.67
3/16/20,16.33
3/17/20,17.71
3/18/20,15.88
3/19/20,16.08
3/20/20,15.88
3/23/20,16.93
3/24/20,19.5
3/25/20,19.11
3/26/20,19.58
3/27/20,19.24
3/30/20,19.29
3/31/20,18.32
4/1/20,18.87
4/2/20,19.85
4/3/20,19.95
4/6/20,20.55
4/7/20,20.31
4/8/20,20.41
4/9/20,22.51
4/13/20,22.51
4/14/20,24.43
4/15/20,24.47
4/16/20,25
4/17/20,24.54
4/20/20,24.92
4/21/20,24.82
4/22/20,26.48
4/23/20,26.74
4/24/20,27.1
4/27/20,26.93
4/28/20,26.96
4/29/20,26.55
4/30/20,25.72
5/1/20,26.93
5/4/20,27.38
5/5/20,28.19
5/6/20,26.56
5/7/20,27.26
5/8/20,27.39
5/11/20,26.02
5/12/20,26.04
5/13/20,26.12
5/14/20,27.14
5/15/20,28.04
5/18/20,27.2
5/19/20,28.1
5/20/20,27.25
5/21/20,26.26
5/22/20,26.32
5/26/20,24.73
5/27/20,23.92
5/28/20,23.95
5/29/20,24
6/1/20,24.78
6/2/20,23.95
6/3/20,23.22
6/4/20,23.43
6/5/20,23.29
6/8/20,23.56
6/9/20,24.33
6/10/20,25.08
6/11/20,24.31
6/12/20,24.07
6/15/20,24.74
6/16/20,24.38
6/17/20,24.25
6/18/20,23.94
6/19/20,24.49
6/22/20,25.45
6/23/20,25.68
6/24/20,25.71
6/25/20,25.73
6/26/20,25.87
6/29/20,26.13
6/30/20,26.94
7/1/20,26.81
7/2/20,26.27
7/6/20,26.61
7/7/20,27.02
7/8/20,27.72
7/9/20,27.59
7/10/20,27.11
7/13/20,26.13
7/14/20,27.05
7/15/20,27.09
7/16/20,26.69
7/17/20,27.34
7/20/20,28.12
7/21/20,28.23
7/22/20,28.52
7/23/20,27.99
7/24/20,28.44
7/27/20,29.91
7/28/20,29.59
7/29/20,28.78
7/30/20,28.25
7/31/20,28.91
8/3/20,28.72
8/4/20,29.75
8/5/20,29.84
8/6/20,29.5
8/7/20,28.87
8/10/20,28.72
8/11/20,26.25
8/12/20,26.18
8/13/20,27.14
8/14/20,26.99
8/17/20,30.13
8/18/20,30.04
8/19/20,28.98
8/20/20,29.95
8/21/20,29.31
8/24/20,28.97
8/25/20,28.75
8/26/20,29.37
8/27/20,28.58
8/28/20,29.2
8/31/20,29.65
9/1/20,29.33
9/2/20,29.61
9/3/20,29.26
9/4/20,29.05
9/8/20,29.2
9/9/20,30.46
9/10/20,30.11
9/11/20,29.75
9/14/20,29.93
9/15/20,29.99
9/16/20,29.99
9/17/20,29.14
9/18/20,28.89
9/21/20,28.19
9/22/20,28.42
9/23/20,27.14
9/24/20,27.65
9/25/20,27.7
9/28/20,27.76
9/29/20,28.28
9/30/20,28.11
10/1/20,28.26
10/2/20,27.89
10/5/20,28.37
10/6/20,27.06
10/7/20,26.95
10/8/20,27.27
10/9/20,28.05
10/12/20,28.04
10/13/20,27.96
10/14/20,28.31
10/15/20,27.75
10/16/20,27.57
10/19/20,27.02
10/20/20,27.07
10/21/20,27.37
10/22/20,26.89
10/23/20,26.81
10/26/20,26.63
10/27/20,27.09
10/28/20,25.92
10/29/20,26.17
10/30/20,26.73
11/2/20,27.16
11/3/20,27.78
11/4/20,27.42
11/5/20,29.32
11/6/20,28.87
11/9/20,26.9
11/10/20,25.94
11/11/20,25.79
11/12/20,25.91
11/13/20,25.89
11/16/20,25.86
11/17/20,25.37
11/18/20,24.46
11/19/20,24.18
11/20/20,24.28
11/23/20,23.24
11/24/20,22.79
11/25/20,22.83
11/27/20,22.69
11/30/20,23.14
12/1/20,23.83
12/2/20,23.96
12/3/20,23.61
12/4/20,23.5
12/7/20,23.95
12/8/20,23.9
12/9/20,23.36
12/10/20,23.09
12/11/20,22.9
12/14/20,22.44
12/15/20,22.87
12/16/20,23.07
12/17/20,23.59
12/18/20,23.27
12/21/20,23.02
12/22/20,22.52
12/23/20,22.83
12/24/20,22.9
12/28/20,22.84
12/29/20,22.91
12/30/20,23.24
12/31/20,22.78
1/4/21,24.62
