Stock,Date,Buy/Sell
BTC,10/27/2019,1
BTC,12/12/2019,1
BTC,12/26/2019,1
BTC,3/28/2020,1
BTC,6/2/2020,1
BTC,7/12/2020,1
BTC,7/22/2020,1
BTC,9/20/2020,1
BTC,10/2/2020,1
BTC,2/24/2019,1
BTC,8/18/2019,1
BTC,11/6/2019,1
BTC,1/8/2020,1
BTC,4/19/2020,1
BTC,7/27/2020,1
BTC,2/24/2019,1
BTC,8/7/2019,1
BTC,9/10/2019,1
BTC,10/31/2019,1
BTC,1/7/2020,1
BTC,4/18/2020,1
BTC,6/22/2020,1
BTC,7/25/2020,1
BTC,4/15/2019,1
BTC,1/19/2020,1
BTC,4/15/2019,1
BTC,2/4/2020,1
BTC,5/20/2020,1
BTC,7/24/2019,1
BTC,2/19/2020,1
FB,2/12/2019,1
FB,3/6/2019,1
FB,4/4/2019,1
FB,6/19/2019,1
FB,9/6/2019,1
FB,10/16/2019,1
FB,12/18/2019,1
FB,2/21/2020,1
FB,4/3/2020,1
FB,7/10/2020,1
FB,8/6/2020,1
FB,10/7/2020,1
FB,12/4/2020,1
FB,3/26/2019,1
FB,7/5/2019,1
FB,10/30/2019,1
FB,4/30/2020,1
FB,11/4/2020,1
FB,3/26/2019,1
FB,6/21/2019,1
FB,10/18/2019,1
FB,2/13/2020,1
FB,4/23/2020,1
FB,10/21/2020,1
FB,6/6/2019,1
FB,12/4/2019,1
FB,6/6/2019,1
FB,11/8/2019,1
FB,5/13/2020,1
FB,10/28/2019,1
Gold,2/6/2019,1
Gold,3/21/2019,1
Gold,5/6/2019,1
Gold,6/2/2019,1
Gold,9/26/2019,1
Gold,10/30/2019,1
Gold,12/5/2019,1
Gold,2/16/2020,1
Gold,3/30/2020,1
Gold,5/15/2020,1
Gold,6/17/2020,1
Gold,9/4/2020,1
Gold,9/9/2020,1
Gold,9/17/2020,1
Gold,10/14/2020,1
Gold,3/13/2019,1
Gold,5/31/2019,1
Gold,12/29/2019,1
Gold,4/13/2020,1
Gold,6/2/2019,1
Gold,11/3/2019,1
Gold,12/23/2019,1
Gold,3/30/2020,1
Gold,6/16/2020,1
Gold,6/20/2019,1
Gold,1/16/2020,1
Gold,6/9/2019,1
Gold,1/5/2020,1
GOOG,2/12/2019,1
GOOG,3/1/2019,1
GOOG,4/9/2019,1
GOOG,6/21/2019,1
GOOG,9/6/2019,1
GOOG,10/17/2019,1
GOOG,12/6/2019,1
GOOG,4/7/2020,1
GOOG,7/8/2020,1
GOOG,8/19/2020,1
GOOG,10/9/2020,1
GOOG,3/26/2019,1
GOOG,7/17/2019,1
GOOG,5/1/2020,1
GOOG,10/30/2020,1
GOOG,3/26/2019,1
GOOG,7/11/2019,1
GOOG,4/24/2020,1
GOOG,10/19/2020,1
GOOG,6/6/2019,1
GOOG,8/29/2019,1
GOOG,8/2/2019,1
GOOG,5/20/2020,1
GOOG,10/28/2019,1
MRNA,2/7/2019,1
MRNA,4/5/2019,1
MRNA,8/21/2019,1
MRNA,10/24/2019,1
MRNA,12/31/2019,1
MRNA,1/17/2020,1
MRNA,2/27/2020,1
MRNA,6/18/2020,1
MRNA,7/14/2020,1
MRNA,9/22/2020,1
MRNA,11/11/2020,1
MRNA,3/19/2019,1
MRNA,8/28/2019,1
MRNA,10/28/2019,1
MRNA,1/16/2020,1
MRNA,2/26/2020,1
MRNA,3/19/2019,1
MRNA,9/5/2019,1
MRNA,11/11/2019,1
MRNA,5/30/2019,1
MRNA,9/26/2019,1
MRNA,5/30/2019,1
MRNA,10/17/2019,1
MSFT,2/13/2019,1
