Stock,Date,Buy/Sell,JSON File Name,Sentiment Score
FB,10282019,1,FB10282019,0.9647
Gold,2062019,1,Gold02062019,
Gold,3212019,1,Gold03212019,
Gold,5062019,1,Gold05062019,0
Gold,6022019,1,Gold06022019,
Gold,9262019,1,Gold09262019,
Gold,10302019,1,Gold10302019,
Gold,12052019,1,Gold12052019,-0.0258
Gold,2162020,1,Gold02162020,0
Gold,3302020,1,Gold03302020,0.8074
Gold,5152020,1,Gold05152020,0.25
Gold,6172020,1,Gold06172020,0.7506
Gold,9042020,1,Gold09042020,0
Gold,9092020,1,Gold09092020,-0.7149
Gold,9172020,1,Gold09172020,0.8875
Gold,10142020,1,Gold10142020,
Gold,3132019,1,Gold03132019,
Gold,5312019,1,Gold05312019,
Gold,12292019,1,Gold12292019,0.296
Gold,4132020,1,Gold04132020,0.9371
Gold,6022019,1,Gold06022019,
Gold,11032019,1,Gold11032019,
Gold,12232019,1,Gold12232019,
Gold,3302020,1,Gold03302020,0.8074
Gold,6162020,1,Gold06162020,0.7964
Gold,6202019,1,Gold06202019,-0.4215
Gold,1162020,1,Gold01162020,
Gold,6092019,1,Gold06092019,
Gold,1052020,1,Gold01052020,
GOOG,2122019,1,GOOG02122019,0.128
GOOG,3012019,1,GOOG03012019,-0.3182
GOOG,4092019,1,GOOG04092019,-0.9041
GOOG,6212019,1,GOOG06212019,0.9364
GOOG,9062019,1,GOOG09062019,0.9824
GOOG,10172019,1,GOOG10172019,0.9773
GOOG,12062019,1,GOOG12062019,0.9779
GOOG,4072020,1,GOOG04072020,0.9432
GOOG,7082020,1,GOOG07082020,0.9061
GOOG,8192020,1,GOOG08192020,0.9678
GOOG,10092020,1,GOOG10092020,0.9668
GOOG,3262019,1,GOOG03262019,0
GOOG,7172019,1,GOOG07172019,0.8366
GOOG,5012020,1,GOOG05012020,0.9589
GOOG,10302020,1,GOOG10302020,0.9973
GOOG,3262019,1,GOOG03262019,0
GOOG,7112019,1,GOOG07112019,0.9518
GOOG,4242020,1,GOOG04242020,0.9512
GOOG,10192020,1,GOOG10192020,0.8922
GOOG,6062019,1,GOOG06062019,0.9898
GOOG,8292019,1,GOOG08292019,0.9509
GOOG,8022019,1,GOOG08022019,0.6124
GOOG,5202020,1,GOOG05202020,0.9411
GOOG,10282019,1,GOOG10282019,0.9972
MRNA,2072019,1,MRNA02072019,
MRNA,4052019,1,MRNA04052019,-0.3182
MRNA,8212019,1,MRNA08212019,0.5423
MRNA,10242019,1,MRNA10242019,
MRNA,12312019,1,MRNA12312019,
MRNA,1172020,1,MRNA01172020,
