,Stock,Date,Buy/Sell,JSON File Name,Sentiment Score
135,FB,04302020,1,FB04302020,0.9987
136,FB,11042020,1,FB11042020,0.9748
137,FB,03262019,1,FB03262019,0.3818
138,FB,06212019,1,FB06212019,0.2447
139,FB,10182019,1,FB10182019,0.9879
140,FB,02132020,1,FB02132020,-0.9562
141,FB,04232020,1,FB04232020,0.3687
142,FB,10212020,1,FB10212020,0.9402
143,FB,06062019,1,FB06062019,0.7506
144,FB,12042019,1,FB12042019,0.986
145,FB,06062019,1,FB06062019,0.7506
146,FB,11082019,1,FB11082019,-0.7311
147,FB,05132020,1,FB05132020,-0.9937
148,FB,10282019,1,FB10282019,0.9647
149,Gold,02062019,1,Gold02062019,
150,Gold,03212019,1,Gold03212019,
151,Gold,05062019,1,Gold05062019,0.0
152,Gold,06022019,1,Gold06022019,
153,Gold,09262019,1,Gold09262019,
154,Gold,10302019,1,Gold10302019,
155,Gold,12052019,1,Gold12052019,-0.0258
156,Gold,02162020,1,Gold02162020,0.0
157,Gold,03302020,1,Gold03302020,0.8074
158,Gold,05152020,1,Gold05152020,0.25
159,Gold,06172020,1,Gold06172020,0.7506
160,Gold,09042020,1,Gold09042020,0.0
161,Gold,09092020,1,Gold09092020,-0.7149
162,Gold,09172020,1,Gold09172020,0.8875
163,Gold,10142020,1,Gold10142020,
164,Gold,03132019,1,Gold03132019,
165,Gold,05312019,1,Gold05312019,
166,Gold,12292019,1,Gold12292019,0.296
167,Gold,04132020,1,Gold04132020,0.9371
168,Gold,06022019,1,Gold06022019,
169,Gold,11032019,1,Gold11032019,
170,Gold,12232019,1,Gold12232019,
171,Gold,03302020,1,Gold03302020,0.8074
172,Gold,06162020,1,Gold06162020,0.7964
173,Gold,06202019,1,Gold06202019,-0.4215
174,Gold,01162020,1,Gold01162020,
175,Gold,06092019,1,Gold06092019,
176,Gold,01052020,1,Gold01052020,
177,GOOG,02122019,1,GOOG02122019,0.128
178,GOOG,03012019,1,GOOG03012019,-0.3182
179,GOOG,04092019,1,GOOG04092019,-0.9041
180,GOOG,06212019,1,GOOG06212019,0.9364
181,GOOG,09062019,1,GOOG09062019,0.9824
182,GOOG,10172019,1,GOOG10172019,0.9773
183,GOOG,12062019,1,GOOG12062019,0.9779
184,GOOG,04072020,1,GOOG04072020,0.9432
185,GOOG,07082020,1,GOOG07082020,0.9061
186,GOOG,08192020,1,GOOG08192020,0.9678
187,GOOG,10092020,1,GOOG10092020,0.9668
188,GOOG,03262019,1,GOOG03262019,0.0
189,GOOG,07172019,1,GOOG07172019,0.8366
190,GOOG,05012020,1,GOOG05012020,0.9589
191,GOOG,10302020,1,GOOG10302020,0.9973
192,GOOG,03262019,1,GOOG03262019,0.0
193,GOOG,07112019,1,GOOG07112019,0.9518
194,GOOG,04242020,1,GOOG04242020,0.9512
195,GOOG,10192020,1,GOOG10192020,0.8922
196,GOOG,06062019,1,GOOG06062019,0.9898
197,GOOG,08292019,1,GOOG08292019,0.9509
198,GOOG,08022019,1,GOOG08022019,0.6124
199,GOOG,05202020,1,GOOG05202020,0.9411
200,GOOG,10282019,1,GOOG10282019,0.9972
201,MRNA,02072019,1,MRNA02072019,
202,MRNA,04052019,1,MRNA04052019,-0.3182
203,MRNA,08212019,1,MRNA08212019,0.5423
204,MRNA,10242019,1,MRNA10242019,
205,MRNA,12312019,1,MRNA12312019,
206,MRNA,01172020,1,MRNA01172020,
207,MRNA,02272020,1,MRNA02272020,0.8992
208,MRNA,06182020,1,MRNA06182020,-0.2023
209,MRNA,07142020,1,MRNA07142020,0.9931
210,MRNA,09222020,1,MRNA09222020,0.9593
211,MRNA,11112020,1,MRNA11112020,0.9709
212,MRNA,03192019,1,MRNA03192019,
213,MRNA,08282019,1,MRNA08282019,
214,MRNA,10282019,1,MRNA10282019,
215,MRNA,01162020,1,MRNA01162020,
216,MRNA,02262020,1,MRNA02262020,-0.2263
217,MRNA,03192019,1,MRNA03192019,
218,MRNA,09052019,1,MRNA09052019,
219,MRNA,11112019,1,MRNA11112019,
220,MRNA,05302019,1,MRNA05302019,0.0
221,MRNA,09262019,1,MRNA09262019,
222,MRNA,05302019,1,MRNA05302019,0.0
223,MRNA,10172019,1,MRNA10172019,
224,MSFT,02132019,1,MSFT02132019,0.8622
225,MSFT,05292019,1,MSFT05292019,0.4939
226,MSFT,06112019,1,MSFT06112019,0.9012
227,MSFT,08282019,1,MSFT08282019,0.5423
228,MSFT,09062019,1,MSFT09062019,0.9881
229,MSFT,10152019,1,MSFT10152019,-0.7469
230,MSFT,04022020,1,MSFT04022020,0.9565
231,MSFT,06082020,1,MSFT06082020,0.9821
232,MSFT,08062020,1,MSFT08062020,-0.9001
233,MSFT,10022020,1,MSFT10022020,0.8674
234,MSFT,11122020,1,MSFT11122020,0.2023
235,MSFT,12082020,1,MSFT12082020,0.9773
236,MSFT,12162020,1,MSFT12162020,0.9805
237,MSFT,03262019,1,MSFT03262019,0.8481
238,MSFT,09242019,1,MSFT09242019,0.9075
239,MSFT,04232020,1,MSFT04232020,-0.8271
240,MSFT,10222020,1,MSFT10222020,0.3164
241,MSFT,03262019,1,MSFT03262019,0.8481
242,MSFT,08192019,1,MSFT08192019,0.9845
243,MSFT,09062019,1,MSFT09062019,0.9881
244,MSFT,09192019,1,MSFT09192019,0.9989
245,MSFT,10102019,1,MSFT10102019,0.9753
246,MSFT,04152020,1,MSFT04152020,0.9943
247,MSFT,10132020,1,MSFT10132020,0.1901
248,MSFT,11102020,1,MSFT11102020,0.9552
249,MSFT,06062019,1,MSFT06062019,0.25
250,MSFT,06062019,1,MSFT06062019,0.25
251,MSFT,05272020,1,MSFT05272020,-0.6597
252,MSFT,11172020,1,MSFT11172020,0.9808
253,Silver,02062019,1,Silver02062019,
254,Silver,02242019,1,Silver02242019,
255,Silver,03212019,1,Silver03212019,
256,Silver,06052019,1,Silver06052019,
257,Silver,07172019,1,Silver07172019,
258,Silver,10212019,1,Silver10212019,
259,Silver,10252019,1,Silver10252019,
260,Silver,12012019,1,Silver12012019,
261,Silver,12192019,1,Silver12192019,
262,Silver,02192020,1,Silver02192020,
263,Silver,04012020,1,Silver04012020,
264,Silver,05112020,1,Silver05112020,
265,Silver,06252020,1,Silver06252020,
266,Silver,09012020,1,Silver09012020,
267,Silver,10152020,1,Silver10152020,
268,Silver,11122020,1,Silver11122020,
269,Silver,06202019,1,Silver06202019,
270,Silver,01022020,1,Silver01022020,
271,Silver,02242020,1,Silver02242020,
272,Silver,04272020,1,Silver04272020,
273,Silver,12022020,1,Silver12022020,
274,Silver,06102019,1,Silver06102019,
275,Silver,11012019,1,Silver11012019,
276,Silver,12262019,1,Silver12262019,
277,Silver,02202020,1,Silver02202020,
278,Silver,04202020,1,Silver04202020,
279,Silver,04222020,1,Silver04222020,
280,Silver,07192019,1,Silver07192019,
281,Silver,01272020,1,Silver01272020,
282,Silver,06032020,1,Silver06032020,
283,Silver,06262019,1,Silver06262019,
284,Silver,01072020,1,Silver01072020,
285,Silver,05242020,1,Silver05242020,
286,Silver,09102019,1,Silver09102019,
287,TNX,03012019,1,TNX03012019,
288,TNX,04112019,1,TNX04112019,
289,TNX,07152019,1,TNX07152019,
290,TNX,09112019,1,TNX09112019,
291,TNX,10172019,1,TNX10172019,
292,TNX,12122019,1,TNX12122019,
293,TNX,03262020,1,TNX03262020,
294,TNX,05112020,1,TNX05112020,
295,TNX,08132020,1,TNX08132020,
296,TNX,09162020,1,TNX09162020,
297,TNX,10062020,1,TNX10062020,
298,TNX,09202019,1,TNX09202019,
299,TNX,10162019,1,TNX10162019,
300,TNX,06032020,1,TNX06032020,
301,TNX,10032019,1,TNX10032019,
302,TNX,06032020,1,TNX06032020,
303,TNX,11112019,1,TNX11112019,
304,TNX,12052019,1,TNX12052019,
305,TSLA,02132019,1,TSLA02132019,
306,TSLA,04052019,1,TSLA04052019,-0.8812
307,TSLA,06132019,1,TSLA06132019,0.1477
308,TSLA,09092019,1,TSLA09092019,-0.0919
309,TSLA,10112019,1,TSLA10112019,-0.8513
310,TSLA,12132019,1,TSLA12132019,-0.4404
311,TSLA,04062020,1,TSLA04062020,0.3169
312,TSLA,08172020,1,TSLA08172020,0.9902
313,TSLA,09232020,1,TSLA09232020,0.9926
314,TSLA,07012019,1,TSLA07012019,0.9447
315,TSLA,09132019,1,TSLA09132019,0.9255
316,TSLA,04202020,1,TSLA04202020,0.9212
317,TSLA,11122020,1,TSLA11122020,0.9157
318,TSLA,07052019,1,TSLA07052019,0.5706
319,TSLA,09262019,1,TSLA09262019,0.9787
320,TSLA,04292020,1,TSLA04292020,0.9903
321,TSLA,07302019,1,TSLA07302019,0.5434
322,TSLA,09162019,1,TSLA09162019,0.0511
323,TSLA,08262019,1,TSLA08262019,-0.9269
324,TWTR,03202019,1,TWTR03202019,
325,TWTR,06182019,1,TWTR06182019,
326,TWTR,07102019,1,TWTR07102019,0.6369
327,TWTR,08272019,1,TWTR08272019,0.2732
328,TWTR,11262019,1,TWTR11262019,-0.6249
329,TWTR,02062020,1,TWTR02062020,0.997
330,TWTR,04132020,1,TWTR04132020,-0.5423
331,TWTR,07132020,1,TWTR07132020,0.0
332,TWTR,09242020,1,TWTR09242020,0.5719
333,TWTR,11252020,1,TWTR11252020,-0.886
334,TWTR,04022019,1,TWTR04022019,
335,TWTR,07242019,1,TWTR07242019,0.3818
336,TWTR,12302019,1,TWTR12302019,
337,TWTR,05072020,1,TWTR05072020,
338,TWTR,03262019,1,TWTR03262019,
339,TWTR,07152019,1,TWTR07152019,0.89
340,TWTR,12262019,1,TWTR12262019,0.0
341,TWTR,05042020,1,TWTR05042020,-0.8806
342,TWTR,07092020,1,TWTR07092020,-0.8085
343,TWTR,06062019,1,TWTR06062019,0.3662
344,TWTR,02212020,1,TWTR02212020,0.8232
345,TWTR,06062019,1,TWTR06062019,0.3662
346,TWTR,02112020,1,TWTR02112020,0.1655
347,TWTR,10282019,1,TWTR10282019,0.6597
348,AAPL,05142019,0,AAPL05142019,-0.6041
349,AAPL,08072019,0,AAPL08072019,0.9832
350,AAPL,02252020,0,AAPL02252020,-0.7962
351,AAPL,09142020,0,AAPL09142020,-0.2263
352,AAPL,10282020,0,AAPL10282020,0.9957
353,AAPL,05172019,0,AAPL05172019,-0.9127
354,AAPL,08152019,0,AAPL08152019,0.9299
355,AAPL,02272020,0,AAPL02272020,0.7882
356,AAPL,09232020,0,AAPL09232020,0.9744
357,AAPL,10272020,0,AAPL10272020,0.9851
358,AAPL,05242019,0,AAPL05242019,-0.6036
359,AAPL,03062020,0,AAPL03062020,0.4215
360,AAPL,10022020,0,AAPL10022020,0.9768
361,AAPL,06112019,0,AAPL06112019,0.9901
362,AAPL,03182020,0,AAPL03182020,-0.9899
